objectid,filename_og,,,,,final file type,,format-CAT,format-almost,format,filename,title,creator,mine,depth,date,description,subject,location,latitude,longitude,source,format original,format_og,type,identifier,language,rights,rightsstatement
cb298,063b73c8-ae3e-4934-81d8-dc9229cd0276.png,063b73c8-ae3e-4934-81d8-dc9229cd0276,png,,,png,,image/png,image/png,image/png,https://cpmrark.reclaim.hosting/images/records/063b73c8-ae3e-4934-81d8-dc9229cd0276.png,"Executive Board, Elena’s Response",Elena Herrada,,,"February 23, 2005",Letter to the Executive Board and Brenda Smith about the Appeal of Layoff and charge of Conduct Unbecoming a Union Official,elena herrada; cpmr; Herrada Archive; Grace and Ari; Letter; 2005,,,,Elena Herrada,"8.5""x11""",,Letter,EH101_112213_008.tif,,Elena Herrada,
cb320,07b9a028-5b03-4d27-9a9d-6745c963ca88.png,07b9a028-5b03-4d27-9a9d-6745c963ca88,png,,,png,,image/png,image/png,image/png,https://cpmrark.reclaim.hosting/images/records/07b9a028-5b03-4d27-9a9d-6745c963ca88.png,Cover of Teatro Frontera Booklet,Olivia Puentes Reynolds,,,unknown,"The cover of a booklet entilted ""Teatro Frontera.""",cpmr; Olivia Puentes Reynolds Archive; olivia puentes reynolds; 1970s; teatro frontera; booklet,,,,Olivia Puentes Reynolds,"8.5"" x 11""",,booklet,039OPR080513-016.tif,,Olivia Puentes Reynolds,
cb290,09da5778-88bf-4e60-9c57-c142bcaded60.png,09da5778-88bf-4e60-9c57-c142bcaded60,png,,,png,,image/png,image/png,image/png,https://cpmrark.reclaim.hosting/images/records/09da5778-88bf-4e60-9c57-c142bcaded60.png,Bilingual Bicultural Child Poster,Unknown,,,unknown,A poster for an institute on the bilingual bicultural exceptional child.,cpmr; Sonia Lopez archive; sonia lopez; poster; bilingual; institute,,,,Sonia Lopez,"14"" x 20""",,Paper Poster,DSC_2758.JPG,,Unknown,
cb301,0b80f8b1-0ca3-4e1c-9373-0215afb65274.png,0b80f8b1-0ca3-4e1c-9373-0215afb65274,png,,,png,,image/png,image/png,image/png,https://cpmrark.reclaim.hosting/images/records/0b80f8b1-0ca3-4e1c-9373-0215afb65274.png,"Photograph of Elena Herrada, Laura Martinez, Blanca Sosa",Unknown,,,1990's,"Photograph of Elena Herrada, Laura Martinez, and Blanca Sosa on Herrada's 40th birthday",elena herrada; cpmr; Herrada Archive; Tina and Jasmine; Laura Martinez; Blanca Sosa; 1990's,,,,Elena Herrada,"4""x6""",,photograph,101EH_010113_23.tif,,Unknown,
cb175,1.png,1,png,,,png,,image/png,image/png,image/png,https://cpmrark.reclaim.hosting/images/records/1.png,Juana and Jesse Gonzales Portrait,Unknown,,,1972,Juana and Jesse Gonzales portrait taken in 1972.,1970s; 1972; cpmr; jesse gonzales; juana Gonzales; juana gonzales collection; Photograph; tdkdsr,,,,Juana Gonzales,2829x4000,,Photograph,216JG_112115_001.tiff,,Unknown,
cb239,121967c2-ba05-4f91-8d81-04212d58cc8a.png,121967c2-ba05-4f91-8d81-04212d58cc8a,png,,,png,,image/png,image/png,image/png,https://cpmrark.reclaim.hosting/images/records/121967c2-ba05-4f91-8d81-04212d58cc8a.png,International Women's Day March Poster,Unknown,Barbara Carrasco,,Unknown,"International Women's Day March Poster including a woman with a sign that says ""Support Anna Nieto Gomez""",Barbara Carrasco; poster; International Women's Day; La Gente; Anna NietoGomez; Anna NietoGomez tenure battle; Carrasco Archive; cpmr; BE,,,,Barbara Carrasco,Unknown,,Poster,042BC_111014_001_a,,Unknown,
cb152,1401_0011NDLSR_111014_0077.jpg,1401_0011NDLSR_111014_0077,jpg,,,jpg,,image/jpg,image/jpg,image/jpg,https://cpmrark.reclaim.hosting/images/records/1401_0011NDLSR_111014_0077.jpg,Man standing in front of TFWU Banner - Peregrinacion from San Juan to Austin,Nancy de los Santos,Nancy de los Santos,,1977,"Image of farmworker smiling and standing next to UFS flags atop a pile of wood in a field somewhere in Texas, 1977 - Peregrinacion from San Juan to Austin?",TFWU; Farmworkers; texas; 1977; cpmr; Nancy de los Santos collection; Peregrinacion,,,,Nancy de los Santos,"8""x11""",,Photograph,1401-0011NDLSR,,Nancy de los Santos,
cb148,1401_0011NDLSR_111014_01401_0011NDLSR_111114_223.jpeg,1401_0011NDLSR_111014_01401_0011NDLSR_111114_223,jpeg,,,jpeg,,image/jpeg,image/jpeg,image/jpeg,https://cpmrark.reclaim.hosting/images/records/1401_0011NDLSR_111014_01401_0011NDLSR_111114_223.jpeg,"International Women's Year Sign, Exterior",Nancy de los Santos,Nancy de los Santos,,1975,"Mujeres Latinas en Acción sent delegates from Chicago, including college age women like Nancy de los Santos, to the International Women's Year Conference in Mexico City. The first conference of its kind, the IWY brought women from across the world together to discuss issues impacting their lives.",International Women's Year Conference; cpmr; IWY; Mujeres Latinas en Acción; Nancy de los Santos; Nancy de los Santos collection; Mexico City; MABPW; Chicana Chicago; 1975; 1970s,,,,Nancy de los Santos,"3"" x 4.5""",,B&W photograph,1401_0011NDLSR_111014_01401_0011NDLSR_111114_223,,Nancy de los Santos,
cb151,1401_0011NDLSR_111014_01401_0011NDLSR_111114_240.jpeg,1401_0011NDLSR_111014_01401_0011NDLSR_111114_240,jpeg,,,jpeg,,image/jpeg,image/jpeg,image/jpeg,https://cpmrark.reclaim.hosting/images/records/1401_0011NDLSR_111014_01401_0011NDLSR_111114_240.jpeg,Color photo of woman exiting pulqueria as people walk by,Nancy de los Santos,Nancy de los Santos,,1975,Photo of pulqueria shows that there are seperate entrances for men and women.,International Women's Year Conference; cpmr; IWY; Mujeres Latinas en Acción; Nancy de los Santos; Nancy de los Santos collection; Mexico City; MABPW; Chicana Chicago; 1975; 1970s,,,,Nancy de los Santos,"3"" x 4.5""",,Color photograph,1401_0011NDLSR_111014_01401_0011NDLSR_111114_240,,Nancy de los Santos,
cb150,1401_0011NDLSR_111014_01401_0011NDLSR_111114_249.jpeg,1401_0011NDLSR_111014_01401_0011NDLSR_111114_249,jpeg,,,jpeg,,image/jpeg,image/jpeg,image/jpeg,https://cpmrark.reclaim.hosting/images/records/1401_0011NDLSR_111014_01401_0011NDLSR_111114_249.jpeg,Dolores Huerta raising fist at UFW Rally,Nancy de los Santos,Nancy de los Santos,,1975,"Dolores Huerta raising fist at UFW Rally, Chicago; The UFW Illinois Boycott was part of a nationwide series of boycotts that the United Farm Workers of America (UFW) spearheaded during the mid 1960s and 1970s. These boycotts alerted the national consumer of the grape and lettuce strikes that had erupted in California and other states.",UFW; chicago; boycott; Farmworkers; Nancy de los Santos; Nancy de los Santos collection; 1970s; cpmr; 1975; Dolores Huerta,,,,Nancy de los Santos,"3.5"" x 5""",,B&W photograph,1401_0011NDLSR_111014_01401_0011NDLSR_111114_249,,Nancy de los Santos,
cb149,1401_0011NDLSR_111014_01401_0011NDLSR_111114_255.jpeg,1401_0011NDLSR_111014_01401_0011NDLSR_111114_255,jpeg,,,jpeg,,image/jpeg,image/jpeg,image/jpeg,https://cpmrark.reclaim.hosting/images/records/1401_0011NDLSR_111014_01401_0011NDLSR_111114_255.jpeg,"Elderly man in suit, walking in front of Boycott March",Nancy de los Santos,Nancy de los Santos,,1975,"Elderly man in suit, walking in front of Boycott March. The UFW Illinois Boycott was part of a nationwide series of boycotts that the United Farm Workers of America (UFW) spearheaded during the mid 1960s and 1970s. These boycotts alerted the national consumer of the grape and lettuce strikes that had erupted in California and other states.",Nancy de los Santos; Nancy de los Santos collection; cpmr; chicago; 1970s; 1975; Farmworkers; UFW; boycott,,,,Nancy de los Santos,"3.5"" x 5""",,B&W photograph,1401_0011NDLSR_111014_01401_0011NDLSR_111114_255,,Nancy de los Santos,
cb153,1401_0011NDLSR_111014_01401_0011NDLSR_111114_256.jpg,1401_0011NDLSR_111014_01401_0011NDLSR_111114_256,jpg,,,jpg,,image/jpg,image/jpg,image/jpg,https://cpmrark.reclaim.hosting/images/records/1401_0011NDLSR_111014_01401_0011NDLSR_111114_256.jpg,Graffiti on empty building decrying landowners,Nancy de los Santos,Nancy de los Santos,,1970s,Graffiti on empty building decrying landowners,urban renewal; Nancy de los Santos; Nancy de los Santos collection; cpmr; chicago; 1970s,,,,Nancy de los Santos,"3.5"" x 5""",,B&W photograph,1401-0011NDLSR,,Nancy de los Santos,
cb154,1401_0011NDLSR_111014_030.jpg,1401_0011NDLSR_111014_030,jpg,,,jpg,,image/jpg,image/jpg,image/jpg,https://cpmrark.reclaim.hosting/images/records/1401_0011NDLSR_111014_030.jpg,Photo Album from Vietnam (inside cover),Nancy de los Santos,Nancy de los Santos,,1960s,Inside cover of deluxe blue instamatic photo album,1960s; cpmr; Nancy de los Santos; photo album; Photograph; vietnam; Nancy de los Santos collection,,,,Nancy de los Santos,"4"" 11""",,Photo album,1401-0011NDLSR,,Nancy de los Santos,
cb147,1401_0011NDLSR_111114_185.jpeg,1401_0011NDLSR_111114_185,jpeg,,,jpeg,,image/jpeg,image/jpeg,image/jpeg,https://cpmrark.reclaim.hosting/images/records/1401_0011NDLSR_111114_185.jpeg,Girl sitting in a window sill,Nancy de los Santos,Nancy de los Santos,,1979,Black and white photograph of a girl sitting in a window sill.,Nancy de los Santos collection; Nancy de los Santos; 1970s; 1979; chicago; cpmr; photo,,,,Nancy de los Santos,"ex: 8.5"" by 11""",,B&W photograph,1401_0011NDLSR_111114_185.tiff,,Nancy de los Santos,
cb240,175c08d8-fe47-4875-a3b1-066651f65654.png,175c08d8-fe47-4875-a3b1-066651f65654,png,,,png,,image/png,image/png,image/png,https://cpmrark.reclaim.hosting/images/records/175c08d8-fe47-4875-a3b1-066651f65654.png,Barbara Carrasco Family Photograph with Siblings,Unknown,Barbara Carrasco,,1961,"In-color portrait of Barbara Carrasco with sister and two brothers, dressed up; Barbara is the second child to the left",Barbara Carrasco; Photograph; 1961; 1960s; Carrasco Archive; cpmr; Carrasco brother; BE,,,,Barbara Carrasco,"3"" x 3""",,Photograph,Carrasco Kids 1961 (4),,Unknown,
cb190,1977-IWY-NWC-cotera-wiener-book.png,1977-IWY-NWC-cotera-wiener-book,png,,,png,,image/png,image/png,image/png,https://cpmrark.reclaim.hosting/images/records/1977-IWY-NWC-cotera-wiener-book.png,Cotera - 1977 - IWY - NWC - Wiener Book,Unknown,Unknown,,1977,"Photograph shows Martha Cotera at the 1977 International Women's Year National Women's Conference in Houston, Texas. Taken from Wiener's Book.",cpmr; Martha Cotera; Cotera Archive; Martha Cotera Collection; 1977; International Women's Year; National Women's Conference; Wiener; Houston; Texas Coordinating Committee,,,,Martha Cotera Collection,1146x793,,Photograph,1997-IWY-NWC-cotera-wiener-book.jpg,,Unknown,
cb188,1977-MC-IWY-NWC.png,1977-MC-IWY-NWC,png,,,png,,image/png,image/png,image/png,https://cpmrark.reclaim.hosting/images/records/1977-MC-IWY-NWC.png,1977 - Martha Cotera - IWY - NWC,Unknown,Unknown,,1977,"Photograph shows Martha Cotera at the 1977 International Women's Year National Women's Conference in Houston, Texas.",cpmr; Martha Cotera; Cotera Archive; Martha Cotera Collection; 1977; International Women's Year; National Women's Conference; Houston; texas,,,,Martha Cotera Collection,839x553,,Photograph,1977-mc-iwy-nwc.png,,Unknown,
cb236,1dd0189a-e8b3-4242-8864-8d3593140ad8.png,1dd0189a-e8b3-4242-8864-8d3593140ad8,png,,,png,,image/png,image/png,image/png,https://cpmrark.reclaim.hosting/images/records/1dd0189a-e8b3-4242-8864-8d3593140ad8.png,Barbara Carrasco's Mother's Graduation Photograph,Unknown,Barbara Carrasco,,Unknown,Black-and-white portrait of Barbara Carrasco's mother's graduation,Barbara Carrasco; Photograph; Carrasco Archive; cpmr; Carrasco mother; BE,,,,Barbara Carrasco,Unknown,,Photograph,Mom_HS jpg,,Unknown,
cb174,2.png,2,png,,,png,,image/png,image/png,image/png,https://cpmrark.reclaim.hosting/images/records/2.png,Picture of Chicana Group at Western Michigan University,Unknown,,,Unknown,"Chicana Group at Western Michigan University having a party for Emily Cantu, Juana is in back row.",1970s; 1972; cpmr; jesse gonzales; juana Gonzales; juana gonzales collection; Photograph; tdkdsr; western michigan university,,,,Juana Gonzales,3521x2797,,Photograph,216JG_112115_003_a.tiff,,Unknown,
cb077,20180228-173035-67908.jpg,20180228-173035-67908,jpg,,,jpg,,image/jpg,image/jpg,image/jpg,https://cpmrark.reclaim.hosting/images/records/20180228-173035-67908.jpg,2018 Photograph by Jesse Moya,Jesse Moya,,,,"Photograph of Enriqueta Vasquez by Jesse Moya, from the article ""Las Pistoleras celebrates Women's History Month in Taos."" https://www.taosnews.com/stories/las-pistoleras-celebrates-womens-history-month-in-taos,46523.",,,,,Enriqueta Vasquez,"ex: 8.5"" by 11""",,Photograph,,,Jesse Moya,
cb198,20649519-ea71-44b6-ab4e-3c0aac136d1e.png,20649519-ea71-44b6-ab4e-3c0aac136d1e,png,,,png,,image/png,image/png,image/png,https://cpmrark.reclaim.hosting/images/records/20649519-ea71-44b6-ab4e-3c0aac136d1e.png,Yolanda Alaniz,,,,,Vibrant picture of Yolanda Alaniz (in purple) dining with friends,,,,,Yolanda Alaniz,2.87 MB,,Image,,,,
cb170,216JG_112115_0011 (595x800).jpg,216JG_112115_0011 (595x800),jpg,,,jpg,,image/jpg,image/jpg,image/jpg,https://cpmrark.reclaim.hosting/images/records/216JG_112115_0011 (595x800).jpg,"Letter to Juana Gonzales from Jesse Gonzales, 1974",Jesse Gonzales,Juana Gonzales,,1974,Letter from Jesse Gonzales to Juana Gonzales in 1974.,juana Gonzales; juana gonzales collection; cpmr; tdkdsr; Letter; jesse gonzales; 1974; 1970s,,,,Juana Gonzales,"7.5""x10""",,Letter,216JG_112115_0011.jpg,,Jesse Gonzales,
cb165,216JG_112115_0021 (578x800).jpg,216JG_112115_0021 (578x800),jpg,,,jpg,,image/jpg,image/jpg,image/jpg,https://cpmrark.reclaim.hosting/images/records/216JG_112115_0021 (578x800).jpg,Juana Gonzales's Buttons: Boycott Buttons,Unknown,Juana Gonzales,,Unknown,"13 buttons from Juana Gonzales's collection. Includes: F.L.O.C. - Hasta La Victoria, I'm Fasting-to protest the use of toxic pesticides on California Table Grapes, No Violencia Es Nuestra Fuerza, Michigan and I Support-1927-1993-Cesar Chavez, Unidos Ganaremos, The Wrath of Grapes, Viva La Huelga, Boycott Non-UFW Grapes, Lucha por Justicia sin Violencia-Cesar Chavez-La Foundacion de Chavez, Viva La Mujer, Boycott Grapes-Huelga, Don't Buy Red Coach Lettuce.",juana Gonzales; juana gonzales collection; cpmr; tdkdsr; buttons; Farm Labor Organization Community; Hasta La Victoria; Grape Boycott; united farm workers; No Violencia Es Nuestra Fuerza; The Wrath of Grapes; Unidos Ganaremos; Cesar Chavez; Viva La Huelga; Viva La Mujer; La Fundacion de Chavez; huelga,,,,Juana Gonzales,"2""x2""",,Buttons,216JG_112115_0021.jpg,,Unknown,
cb164,216JG_112115_0023 (800x404).jpg,216JG_112115_0023 (800x404),jpg,,,jpg,,image/jpg,image/jpg,image/jpg,https://cpmrark.reclaim.hosting/images/records/216JG_112115_0023 (800x404).jpg,Voting Credential NEA Women's Caucus Membership,Unknown,Juana Gonzales,,2002,Voting Credential Card for Juana Gonzales from the NEA (National Education Association) Women's Caucus.,juana Gonzales; juana gonzales collection; cpmr; tdkdsr; voting card; 2002; NEA Women's Caucus; National Education Association; 2000s,,,,Juana Gonzales,"3.3""x2""",,Voting Card,216JG_112115_0023.tiff,,Unknown,
cb163,216JG_112115_0024_a (555x800).jpg,216JG_112115_0024_a (555x800),jpg,,,jpg,,image/jpg,image/jpg,image/jpg,https://cpmrark.reclaim.hosting/images/records/216JG_112115_0024_a (555x800).jpg,Cover of Crystal Apple Awards Program 2003,"College of Education, Michigan State University",Juana Gonzales,,2003,Cover of Crystal Apple Awards program from 2003 when Juana Gonzales received award.,juana Gonzales; juana gonzales collection; cpmr; tdkdsr; Crystal Apple Award; 2003; michigan state university; Event Program; 2000s,,,,Juana Gonzales,"7""x10.5""",,Event Program,216JG_112115_0024_a.tiff,,"College of Education, Michigan State University",
cb169,216JG_112115_0026 (800x751).jpg,216JG_112115_0026 (800x751),jpg,,,jpg,,image/jpg,image/jpg,image/jpg,https://cpmrark.reclaim.hosting/images/records/216JG_112115_0026 (800x751).jpg,Picture of Chicana Group Meeting 1,Unknown,Juana Gonzales,,1974,"Image of Chicana meeting, December 1974.",juana Gonzales; juana gonzales collection; cpmr; tdkdsr; Photograph; 1974; 1970s 1978 Cotera Archive CPMR elections March Against police Brutality Martha Cotera Newsletter RUP,,,,Juana Gonzales,"3.5""x3.5""",,Photograph,216JG_112115_0026.jpg,,Unknown,
cb168,216JG_112115_0031 (774x800).jpg,216JG_112115_0031 (774x800),jpg,,,jpg,,image/jpg,image/jpg,image/jpg,https://cpmrark.reclaim.hosting/images/records/216JG_112115_0031 (774x800).jpg,Portrait from Juana and Jesse Gonzales's Wedding 1,Unknown,Juana Gonzales,,1974,Portrait from Juana and Jesse Gonzales's Wedding in 1974.,juana Gonzales; juana gonzales collection; cpmr; tdkdsr; Photograph; 1974; 1970s; jesse gonzales,,,,Juana Gonzales,"3.5""x3.5""",,Photograph,216JG_112115_0031.jpg,,Unknown,
cb167,216JG_112115_0033 (800x544).jpg,216JG_112115_0033 (800x544),jpg,,,jpg,,image/jpg,image/jpg,image/jpg,https://cpmrark.reclaim.hosting/images/records/216JG_112115_0033 (800x544).jpg,Photograph of Juana Gonzales Teaching 1,Unknown,Juana Gonzales,,1995,Portrait of Juana Gonzales teaching.,juana Gonzales; juana gonzales collection; cpmr; tdkdsr; 1995; 1990s; Photograph,,,,Juana Gonzales,"5""x7""",,Photograph,216JG_112115_0033.jpg,,Unknown,
cb172,216JG_112115_008_a (740x800).jpg,216JG_112115_008_a (740x800),jpg,,,jpg,,image/jpg,image/jpg,image/jpg,https://cpmrark.reclaim.hosting/images/records/216JG_112115_008_a (740x800).jpg,Newspaper Photograph from The Mercedes Enterprise of Juan and Josefa De Los Santos,The Mercedes Enterprise,Juana Gonzales,,1996,Family photo appearing in newspaper article of 50th wedding anniversary of Juana's parents.,juana Gonzales; juana gonzales collection; cpmr; tdkdsr; 1996; newspaper; The Mercedes Enterprise; Mercedes; texas; Josefa De Los Santos; Juan De Los Santos; jesse gonzales; 1990s,,,,Juana Gonzales,"13""x10""",,Newspaper Article,216JG_112115_008_a.jpg,,The Mercedes Enterprise,
cb171,216JG_112115_009.jpg (800x510).jpg,216JG_112115_009,jpg (800x510),jpg,,jpg,,image/jpg,image/jpg,image/jpg,https://cpmrark.reclaim.hosting/images/records/216JG_112115_009.jpg (800x510).jpg,Photograph of De Los Santos Children,Unknown,Juana Gonzales,,1959,Picture of eight out of the eleven De Los Santos children. Juana is the second from the right.,juana Gonzales; juana gonzales collection; cpmr; tdkdsr; 1959; Photograph; De Los Santos Family; 1950s,,,,Juana Gonzales,"3.5""x5""",,Photograph,216JG_112115_009.jpg,,Unknown,
cb197,2868b5ec-5c5d-4cc6-8871-ca812bf27326.png,2868b5ec-5c5d-4cc6-8871-ca812bf27326,png,,,png,,image/png,image/png,image/png,https://cpmrark.reclaim.hosting/images/records/2868b5ec-5c5d-4cc6-8871-ca812bf27326.png,My Politics Is Me,Yolanda Alaniz,,,,First page of a 4 page length document in which Yolanda expresses her political views and why she is a self proclaimed feminist socialist.,Chicana politics; feminist; socialist,,,,Yolanda Alaniz,266.01 KB,,Document,,,Yolanda Alaniz,
cb300,2e1a9f56-9e12-40ab-818f-4aaddb36f557.png,2e1a9f56-9e12-40ab-818f-4aaddb36f557,png,,,png,,image/png,image/png,image/png,https://cpmrark.reclaim.hosting/images/records/2e1a9f56-9e12-40ab-818f-4aaddb36f557.png,Los Repatriados Letter,Elena Herrada,,,2000,"PDF of a letter, written by Elena Herrada, which outlines Los Repatriados oral history project and invites people to participate. It gives historical background on the repatriation of Mexican-Americans and immigrants and recounts Herrada's grandfather's experiences.",elena herrada; cpmr; Herrada Archive; Tina and Jasmine; repatriation; Los Repatriados; Walter Ruether Library; Wayne State University; -Boricua Studies; Ford Motor Company; Great Depression; detroit; Michigan; WPA; Detroit Latino History Project; immigration; deportation; 1930's; 2001,,,,Elena Herrada,"8.5"" x 11""",,pdf,101EH_010113_28_a.pdf,,Elena Herrada,
cb162,2e436f61-dcfa-4f0e-a759-f7fe1245aac3.png,2e436f61-dcfa-4f0e-a759-f7fe1245aac3,png,,,png,,image/png,image/png,image/png,https://cpmrark.reclaim.hosting/images/records/2e436f61-dcfa-4f0e-a759-f7fe1245aac3.png,MANA De Michigan Recognition of Outstanding Accomplishments Award 1998,N/A,,,1998,Angela Reyes was presented this award for her accomplishments and devotion to the youth of Southwest Detroit by MANA De Michigan.,Angela Reyes; 1998; MANA De Michigan,,,,Angela Reyes,N/A,,photo,215AR_110815009.jpg,,N/A,
cb173,3.png,3,png,,,png,,image/png,image/png,image/png,https://cpmrark.reclaim.hosting/images/records/3.png,Ballet Folklorico of University of Michigan,Unknown,,,1974,"Performance of the Ballet Folklorico at the University of Michigan, 1974. Juana in the background, dancing.",1970s; 1972; cpmr; jesse gonzales; juana Gonzales; juana gonzales collection; Photograph; tdkdsr; university of michigan,,,,Juana Gonzales,2706x3529,,Photograph,216JG_112115_004.tiff,,Unknown,
cb075,306EV_081218_001.jpg,306EV_081218_001,jpg,,,jpg,,image/jpg,image/jpg,image/jpg,https://cpmrark.reclaim.hosting/images/records/306EV_081218_001.jpg,"Playing the mandolin, Enriqueta Vasquez",,Enriqueta Vasquez,,November 2001,"Black and white photograph of Enriqueta playing mandolin, date on copy Nov 2001, address of Annette S. Montoya",Enriqueta Vasquez; Photocopy; Photograph; 2001; 2000s; music; Vasquez archive; JAG; cpmr,,,,Enriqueta Vasquez,7.53 x 5,,Photocopy,306EV_081218_001,,,
cb074,306EV_081218_005.jpg,306EV_081218_005,jpg,,,jpg,,image/jpg,image/jpg,image/jpg,https://cpmrark.reclaim.hosting/images/records/306EV_081218_005.jpg,"Family photo, Enriqueta Vasquez and children (front)",,Enriqueta Vasquez,,,"Black and white professional photo of Enriqueta Vasquez's family. Enriqueta and daughter Ramona sitting in foreground, son Ruben sitting behind. The back reads: ""Figure 4: Enriqueta Vasquez.""",Enriqueta Vasquez; Photograph; family photograph; Vasquez archive; JAG; cpmr; Ramona Vasquez; Ruben Vasquez,,,,Enriqueta Vasquez,6x4,,Photograph,306EV_081218_005,,,
cb071,306EV_081218_010.jpg,306EV_081218_010,jpg,,,jpg,,image/jpg,image/jpg,image/jpg,https://cpmrark.reclaim.hosting/images/records/306EV_081218_010.jpg,Portrait of young Enriqueta Vasquez outside (front),Betita Martinez,Enriqueta Vasquez,,1969,"Black and white portrait of Enriqueta Vasquez standing outside. The back reads: ""Figure 6 Enriqueta Vasquez."" Photo taken in 1969 at El Grito headquarters by Betita Martinez.",Enriqueta Vasquez; 1969; 1960s; Betita Martinez; El Grito del Norte; Photograph; Vasquez archive; JAG; cpmr,,,,Enriqueta Vasquez,5x7,,Photograph,306EV_081218_010,,Betita Martinez,
