objectid,title,creator,creator_title,date,description,subject,type,format,language,identifier,filename_og,display_template,image_large,image_small,image_thumb,object location,collection,location,latitude,longitude,source,format original,type-og,identifier-og,language,rights,rightsstatement
cb066,"Photograph of Enriqueta and people in traditional indigenous clothing, Corky Gonzales' memorial",,,4/12/2005,"Photograph of Enriqueta Vasquez [far right] and several people in traditional indigenous clothing, including tall feather headdresses, as part of Corky Gonzales' memorial in Curtis Park, Denver on April 12, 2005.",Enriqueta Vasquez; Curtis Park; Corky Gonzales; 2005; 2000s; indigenous; headdress; Vasquez archive; JAG; ,Image;Stillimage,application/pdf,,cb066,,pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb066.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb066.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb066.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb066.pdf,Enriqueta Vasquez,,,,Enriqueta Vasquez,4x6,Photograph,306EV_081318_311_merged.pdf,,,
cb069,"Correspondence, Enriqueta Vasquez and Betita Martinez on longhairs, May 26 1969",Betita Martinez,,5/26/1969,"Correspondence from Betita Martinez to Enriqueta and Bill Vasquez in May 1969 on the subject of ""longhairs,"" or hippies and other counterculture people who moved to New Mexico en masse during the 1960s and 1970s. The letter includes what could be Betita's own typographical corrections in pencil.",Enriqueta Vasquez; Betita Martinez; Bill Longeaux; longhairs; hippies; New Mexico; 1969; 1960s; correspondence; Vasquez archive; JAG; ,Image;Stillimage,application/pdf,,cb069,,pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb069.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb069.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb069.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb069.pdf,Enriqueta Vasquez,,,,Enriqueta Vasquez,8.5x11,Correspondence,306EV_081318_146_merged.pdf,,Betita Martinez,
cb072,Personal notes from Enriqueta Vasquez's Cuba trip,Enriqueta Vasquez,,1969,"A small notebook of handwritten notes about teaching by Enriqueta Vasquez on her 1969 trip to Cuba. The notebook includes shorthand. Enriqueta traveled to Cuba in 1969 as part of a delegation of activists and journalists invited to Cuba to report on the revolution's ten-year anniversary. Enriqueta traveled on behalf of El Grito del Norte and traveled with Rafael Duran, a long-time land grant movement activist.",Enriqueta Vasquez; Photograph; Personal Notes; Cuba; Havana; Cuban revolution; 1969; 1960s; Vasquez archive; JAG; ,Image;Stillimage,application/pdf,,cb072,,pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb072.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb072.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb072.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb072.pdf,Enriqueta Vasquez,,,,Enriqueta Vasquez,5x8,Photograph,306EV_081218_124_merged.pdf,,Enriqueta Vasquez,
cb073,"El Grito del Norte, Vol. 4, No. 4-5, June 1971","El Grito del Norte, Inc.",,6/1/1971,"El Grito del Norte newspaper, volume 4, numbers 4 and 5, from June 1971. Enriqueta Vasquez worked for this newspaper and it includes a special insert on La Chicana. Article topics include the freeing of Reies Lopez Tijerina, a killing by Taos police, the trial of Tobias Leyba, La Raza Unida Party victories in Crystal City, Texas, Gertrudis Bocanegra, Mexican American women of the revolution, Isabel Magron Gonzalez, the lynching of Josefa (""Juanita"") Segovia, Alicia Escalante, Hijas de Cuauhtemoc",Enriqueta Vasquez; El Grito del Norte; Reies Lopez Tijerina; Tobias Leyba; Raza Unida Party; RUP; crystal city; Gertrudis Bocanegra; Isabel Magron Gonzalez; Josefa Segovia; Juanita Segovia; Alicia Escalante; Hijas de Cuauhtemoc; Raza Unida Party women; Indochinese Women's Conference of 1971; Young Lords; Venceremos College; Mexico; Lolita Lebron; Cheyenne; Plains Indians; fishing rights; welfare rights movement; newspaper; Vasquez archive; 1971; 1970s; JAG; ,Image;Stillimage,application/pdf,,cb073,,pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb073.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb073.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb073.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb073.pdf,Enriqueta Vasquez,,,,Enriqueta Vasquez,"ex: 8.5"" by 11""",Newspaper,306EV_091318_016.pdf,,"El Grito del Norte, Inc.",
cb088,Letter from Martha Cotera to Susie Renteria offering support for Mujeres Por La Causa,Martha Cotera,,9/23/1974,"Letter regrets to inform Susie that Martha cannot speak before Mujeres Por La Causa, but offers alternative speakers, support, and materials.",Martha Cotera; Martha Cotera archive; texas; 1974; Waco; 1970s;  Chicana Research and Learning Center; CRLC; Susie Renteria; Evey Chapa; Mujeres por la Causa,Image;Stillimage,application/pdf,,cb088,,pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb088.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb088.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb088.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb088.pdf,n/a,,,,,8.5x11,Correspondence,AR-M620N_20091028_143437.pdf,,Martha Cotera,
cb089,Conferencia Para Chicanas Agenda,N/A,,9/23/1974,Agenda and information for Conferencia Para Chicanas in 1974.,texas; 1974;  Cotera Archive; RUP; 1970s; Conferencia para Chicanas; conference; Martha Cotera; Evey Chapa,Image;Stillimage,application/pdf,,cb089,,pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb089.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb089.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb089.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb089.pdf,n/a,,,,,8.5x11,conference agenda,Conferencia Para Chicanas_23Feb1974.pdf,,N/A,
cb090,Letter Requesting Donation from Evey Chapa,Carlos Guerra,,9/23/1974,Letter from Carlos Guerra to Evey Chapa asking for donations to fund Ramsey Muniz and his candidacy.,Carlos Guerra; Cotera Archive; Ramsey Muniz; Evey Chapa; 1970s; 1974; Martha Cotera; Letter; fundraiser; donation; ,Image;Stillimage,application/pdf,,cb090,,pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb090.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb090.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb090.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb090.pdf,n/a,,,,,8.5x11,Correspondence,Correspondence_Evey Chapa_Carlos Guerra_1.pdf,,Carlos Guerra,
cb091,Letter to Lucy Lopez: Chicana Conference by Clarement Colleges,Martha Cotera,,10/31/1974,"Clarement Colleges is hosting the National Chicana Conference, and writes to Martha in thanks and with a timeline for the organizational steps.",Evey Chapa; Martha Cotera; Claremont Colleges; 1970s; National Chicana Conference; Lucy Lopez; Chicana Research and Learning Center; CRLC;  Martha Cotera archive; 1974,Image;Stillimage,application/pdf,,cb091,,pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb091.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb091.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb091.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb091.pdf,n/a,,,,,8.5x11,Correspondence,AR-M620N_20091028_143856.pdf,,Martha Cotera,
cb092,"Chicana Research and Learning Center Concept Paper, 1974",Evey Chapa,,9/1/1974,"A Concept Paper for the Chicana Research and Learning Center, written by Evey Chapa in 1974, that lays out the purpose and need for the Chicana Resarch and Learning Center. The paper lists the following staff: Evey Chapa, Executive Director, Belinda Herrera, Research Director, Martha Cotera, Chair of Board of directors, Lydia Espinoza (South Bend) former Research Director, Emilio Zamora, Aurelio Montemayor, Rebecca Pedroza, Cecilia Burciaga, Cecialia Suarez, Juan Gomez Quinones",austin; Evey Chapa; Chicana Research and Learning Center; CRLC; Cecilia Burciaga; Midwest; Cotera Archive; Cecilia Suarez; Aurelio Montomayor;  Emilia Zamora; Juan Gomez Quinones; 1974; Rebecca Pedrazo; Michigan; 1970s; texas; MSU Collection; Belinda Herrera; Lydia Espinoza,Image;Stillimage,application/pdf,,cb092,,pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb092.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb092.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb092.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb092.pdf,MSU Special Collections,,,,,8.5x11,Paper,"Unpublished Chapa,Evey Sept74_JJG3.36_.pdf",,Evey Chapa,
cb093,Ramsey Muniz Press Release Procedure,N/A,,n/a,List of steps for Evey Chapa to take for giving a press release for Ramsey Muniz.,n/a,Image;Stillimage,application/pdf,,cb093,,pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb093.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb093.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb093.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb093.pdf,n/a,,,,,8.5x11,n/a,n/a,,N/A,
cb094,Letter from Ramsey Muniz to Evey Chapa,Ramsey Muñiz,,4/11/1974,n/a,n/a,Image;Stillimage,application/pdf,,cb094,,pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb094.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb094.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb094.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb094.pdf,n/a,,,,,8.5x11,Correspondence,n/a,,Ramsey Muñiz,
cb095,Letter from Martha Cotera,Martha Cotera,,10/31/1974,n/a,n/a,Image;Stillimage,application/pdf,,cb095,,pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb095.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb095.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb095.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb095.pdf,n/a,,,,,8.5x11,Correspondence,n/a,,Martha Cotera,
cb143,"Raza Art and Media Collective Journal Volume 2, Number 1",Raza Media Arts Collective,,6/1/1977,Contains the first edition of the second volume of the Raza Art and Media Collective Journal. Pages 1-2., mdbe; Ana Luisa Cardona; Cardona Archive; 1977; raza art and media collective; journal; roberto flores; george vargas; Angela de Hoyos; 1970s,Image;Stillimage,application/pdf,,cb143,,pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb143.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb143.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb143.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb143.pdf,,,,,Ana Luisa Cardona,"ex: 8.5"" by 11""",Print Journal,214AC_120515_021.pdf,,Raza Media Arts Collective,
cb155,"Raza Art and Media Collective Journal, Volume 1, Number 1",Raza Art & Media Collective,,1/1/1976,"Contains the first edition of the Raza Art and Media Collective Journal, front page and page 2.",ana cardona,Image;Stillimage,application/pdf,,cb155,,pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb155.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb155.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb155.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb155.pdf,Ana Cardona's Archive,,,,Ana Luisa Cardona,"ex: 8.5"" by 11""",Newsletter,214AC_120515_019,,Raza Art & Media Collective,
cb156,Ana Luisa Cardona - Oral History Clip 4,N/A,,1976,Ana Cardona discusses her experience at University of Michigan meeting up and participating in organizations with Chicanos including the Raza Art and Media Collective.,ana cardona; ramc; ,Image;Stillimage,application/pdf,,cb156,,image,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb156.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb156.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb156.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb156.pdf,n/a,,,,Ana Luisa Cardona,11 minutes,Video,214AC_120715_005.m4v,,N/A,
cb180,"Raza Art and Media Collective Journal Volume 1, Number 2","The Raza Art and Media Collective, Inc.",,1976,Contains the second edition of the Raza Art and Media Collective Journal. Pages 1-6.,Ana Luisa Cardona; Cardona Archive; 1976; march 1; volume 1; number 2; raza art and media collective; university of michigan; miguel mendez; 1970s; journal; tenelcome; corrido; Santos Martinez; San antonio; roberto flores; ana luisa cardona poetry; roberto flores photography,Image;Stillimage,application/pdf,,cb180,,pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb180.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb180.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb180.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb180.pdf,Ana Luisa Cardona,,,,Ana Luisa Cardona,"ex: 8.5"" by 11""",Journal,214AC_120515_020,,"The Raza Art and Media Collective, Inc.",
cb181,Ana Luisa Cardona CV second version,Ana Luisa Cardona,,1977,The second version in the binder of Ana Luisa Cardona's CV.,Ana Luisa Cardona; Cardona Archive; 1977; 1978; national endowment for the arts; washington dc; cv; university of michigan; 1970s; 1980s; raza art and media collective; los viejitos; teatro de los estudiantes; comission for minority affairs,Image;Stillimage,application/pdf,,cb181,,pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb181.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb181.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb181.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb181.pdf,Ana Luisa Cardona,,,,Ana Luisa Cardona,"8.5"" by 11""",CV,214AC_120515_018,,Ana Luisa Cardona,
