objectid,filename_og,title,creator,creator_title,date,date_og,description,subject,type,format,language,identifier,base name,extension,overfow1,overflow2,display_template,base url,image_small,image_thumb,object_location,collection,location,latitude,longitude,source,format original,type-og,identifier-og,language,rights,rightsstatement,image_alt_text
cb077,20180228-173035-67908.jpg,2018 Photograph by Jesse Moya,Jesse Moya,,unknown,,"Photograph of Enriqueta Vasquez by Jesse Moya, from the article ""Las Pistoleras celebrates Women's History Month in Taos."" https://www.taosnews.com/stories/las-pistoleras-celebrates-womens-history-month-in-taos,46523.",,Image;Stillimage,image/jpg,,2018022817303567908.jpg,2018022817303567908,jpg,,,image,https://cpmrark.reclaim.hosting/,https://cpmrark.reclaim.hosting/objects/small/2018022817303567908_sm.jpg,https://cpmrark.reclaim.hosting/objects/thumbs/2018022817303567908_th.jpg,https://cpmrark.reclaim.hosting/objects/2018022817303567908.jpg,,,,,Enriqueta Vasquez,"ex: 8.5"" by 11""",Photograph,,,Jesse Moya,,"Photograph of Enriqueta Vasquez by Jesse Moya, from the article ""Las Pistoleras celebrates Women's History Month in Taos."" https://www.taosnews.com/stories/las-pistoleras-celebrates-womens-history-month-in-taos,46523."
cb319,4530c9b9-fbc3-45e8-9eaa-c2b95c4447b7.png,5 Poems in a Booklet,Olivia Puentes Reynolds,,unknown,unknown,"Pages 18 and 19 of a booklet featuring five poems, four of which written by San Diego State College students", Olivia Puentes Reynolds Archive; olivia puentes reynolds; 1970s; teatro frontera; booklet; poetry; San Diego State College; SDSC,Image;Stillimage,image/png,,4530c9b9fbc345e89eaac2b95c4447b7.png,4530c9b9fbc345e89eaac2b95c4447b7,png,,,image,https://cpmrark.reclaim.hosting/,https://cpmrark.reclaim.hosting/objects/small/4530c9b9fbc345e89eaac2b95c4447b7_sm.jpg,https://cpmrark.reclaim.hosting/objects/thumbs/4530c9b9fbc345e89eaac2b95c4447b7_th.jpg,https://cpmrark.reclaim.hosting/objects/4530c9b9fbc345e89eaac2b95c4447b7.png,,,,,Olivia Puentes Reynolds,"8.5"" x 22""",booklet,039OPR080513-025.tif,,Olivia Puentes Reynolds,,"Pages 18 and 19 of a booklet featuring five poems, four of which written by San Diego State College students"
cb076,306EV_08122018_219_a.jpg,"A La Madre Yaqui, painting by Enriqueta Vasquez (view 1)",Enriqueta Vasquez,,unknown,,"A painting of a woman walking in the desert with her child on her back, and an animal skin draped over the child. Made by Enriqueta Vasquez.",Enriqueta Vasquez; Art; painting; Yaqui; Yaqui massacre; Vasquez archive; JAG; ,Image;Stillimage,image/jpg,,306ev08122018219a.jpg,306ev08122018219a,jpg,,,image,https://cpmrark.reclaim.hosting/,https://cpmrark.reclaim.hosting/objects/small/306ev08122018219a_sm.jpg,https://cpmrark.reclaim.hosting/objects/thumbs/306ev08122018219a_th.jpg,https://cpmrark.reclaim.hosting/objects/306ev08122018219a.jpg,Vasquez archive,,,,Enriqueta Vasquez,"ex: 8.5"" by 11""",Painting,306EV_08122018_219_a.jpg,,Enriqueta Vasquez,,"A painting of a woman walking in the desert with her child on her back, and an animal skin draped over the child. Made by Enriqueta Vasquez."
cb121,Copy of moonlight study.png,A man and woman in front of the ocean at night,Nancy de los Santos,,1970s,1970s,Black and white photo of a man and woman admiring the moon reflected in the ocean at night,Nancy de los Santos collection; Nancy de los Santos;  1970s; ocean; photo; la historia de Nancy,Image;Stillimage,image/png,,copyofmoonlightstudy.png,copyofmoonlightstudy,png,,,image,https://cpmrark.reclaim.hosting/,https://cpmrark.reclaim.hosting/objects/small/copyofmoonlightstudy_sm.jpg,https://cpmrark.reclaim.hosting/objects/thumbs/copyofmoonlightstudy_th.jpg,https://cpmrark.reclaim.hosting/objects/copyofmoonlightstudy.png,Nancy de los Santos,,,,Nancy de los Santos,"ex: 8.5"" by 11""",Image,1401_0011NDLSR_111114_115,,Nancy de los Santos,,Black and white photo of a man and woman admiring the moon reflected in the ocean at night
cb098,0015_VM092114_0056b.png,A Place in History feature,Kevin McKeough,,unknown,n/a,n/a,n/a,Image;Stillimage,image/png,,0015vm0921140056b.png,0015vm0921140056b,png,,,image,https://cpmrark.reclaim.hosting/,https://cpmrark.reclaim.hosting/objects/small/0015vm0921140056b_sm.jpg,https://cpmrark.reclaim.hosting/objects/thumbs/0015vm0921140056b_th.jpg,https://cpmrark.reclaim.hosting/objects/0015vm0921140056b.png,Virginia Martinez,,,,Virginia Martinez,n/a,n/a,0015_VM092114_0056b.tiff,,Kevin McKeough,,n/a
cb128,Copy of priest riding bike.png,A priest riding a bike down the street,Nancy de los Santos,,1970s,1970s,Black and white photograph of a priest riding a bike down the street probably somewhere in Europe.,Nancy de los Santos collection; Nancy de los Santos;  1970s; priest; photo; la historia de Nancy,Image;Stillimage,image/png,,copyofpriestridingbike.png,copyofpriestridingbike,png,,,image,https://cpmrark.reclaim.hosting/,https://cpmrark.reclaim.hosting/objects/small/copyofpriestridingbike_sm.jpg,https://cpmrark.reclaim.hosting/objects/thumbs/copyofpriestridingbike_th.jpg,https://cpmrark.reclaim.hosting/objects/copyofpriestridingbike.png,Nancy de los Santos,,,,Nancy de los Santos,"ex: 8.5"" by 11""",Image,1401_0011NDLSR_111114_124,,Nancy de los Santos,,Black and white photograph of a priest riding a bike down the street probably somewhere in Europe.
cb330,Acevedo Mestizaje Complete Flyer .png,Acevedo Mestizaje Complete Flyer,Unknown,,1986-5-9,5/9/1986,An Acevedo flyer for mestizaje event., rita sanchez archive; rita sanchez; 1980s; 1986; acevedo gallery; mestizaje,Image;Stillimage,image/png,,acevedomestizajecompleteflyer.png,acevedomestizajecompleteflyer,png,,,image,https://cpmrark.reclaim.hosting/,https://cpmrark.reclaim.hosting/objects/small/acevedomestizajecompleteflyer_sm.jpg,https://cpmrark.reclaim.hosting/objects/thumbs/acevedomestizajecompleteflyer_th.jpg,https://cpmrark.reclaim.hosting/objects/acevedomestizajecompleteflyer.png,,,,,Rita Sanchez,"4"" x 6""",Poster,,,Unknown,,An Acevedo flyer for mestizaje event.
cb131,Copy of teatro del barrio.png,Actors presenting at Teatro del barrio presentation,Nancy de los Santos,,1970s,1970s,Black and white photograph of people presenting during the Teatro del barrio presentation on the grape and lettuce boycott.,Nancy de los Santos collection; Nancy de los Santos;  1970s; chicago; Pilsen; teatro del barrio; grapes; lettuce; photo; la historia de Nancy,Image;Stillimage,image/png,,copyofteatrodelbarrio.png,copyofteatrodelbarrio,png,,,image,https://cpmrark.reclaim.hosting/,https://cpmrark.reclaim.hosting/objects/small/copyofteatrodelbarrio_sm.jpg,https://cpmrark.reclaim.hosting/objects/thumbs/copyofteatrodelbarrio_th.jpg,https://cpmrark.reclaim.hosting/objects/copyofteatrodelbarrio.png,Nancy de los Santos,,,,Nancy de los Santos,"ex: 8.5"" by 11""",image,1401_0011NDLSR_111114_301,,Nancy de los Santos,,Black and white photograph of people presenting during the Teatro del barrio presentation on the grape and lettuce boycott.
cb109,mirrored men.png,Albert Mata and a colleague - reflected image,Nancy de los Santos,,unknown,Unknown,Albert Mata and a colleague preparing for a speech in the bethroom,Nancy de los Santos; Nancy de los Santos collection; Albert Mata; chicago; 1970s; Notre Dame University; ,Image;Stillimage,image/png,,mirroredmen.png,mirroredmen,png,,,image,https://cpmrark.reclaim.hosting/,https://cpmrark.reclaim.hosting/objects/small/mirroredmen_sm.jpg,https://cpmrark.reclaim.hosting/objects/thumbs/mirroredmen_th.jpg,https://cpmrark.reclaim.hosting/objects/mirroredmen.png,Nancy De Los Santos,,,,Nancy de los Santos,"3.5"" x 5""",photograph,1401_0011NDLSR_111014_01401_0011NDLSR_111114_252,,Nancy de los Santos,,Albert Mata and a colleague preparing for a speech in the bethroom
cb211,Screen Shot 2015-11-02 at 6.23.35 PM.png,Alicia Escalante Business Card,N/A,,unknown,N/A,"A business card for Alicia Escalante. Words under her name have been crossed off, but it provides an address and phone number. Next to her name is an illustration and the words La Causa De Los Pobres.",Alicia Escalante; Escalante archive;  2000s; la causa de los pobres; Chicana Welfare Rights Organization; california,Image;Stillimage,image/png,,screenshot20151102at6.23.35pm.png,cb211,,,,image,https://cpmrark.reclaim.hosting/,https://cpmrark.reclaim.hosting/objects/small/cb211_sm.jpg,https://cpmrark.reclaim.hosting/objects/thumbs/cb211_th.jpg,https://cpmrark.reclaim.hosting/objects/cb211.png,N/A,,,,Alicia Escalante,Unknown,Business Card,024AE_093014_003.tif,,N/A,,"A business card for Alicia Escalante. Words under her name have been crossed off, but it provides an address and phone number. Next to her name is an illustration and the words La Causa De Los Pobres."
cb205,Screen Shot 2015-11-02 at 7.06.56 PM.png,Alicia Escalante Personal Statement,Alicia Escalante,,2002,2002,Alicia Escalante tells her story of being a single mother on welfare and the humiliation and inequality she experienced. She writes about how she joined protests and got involved with activism.,Alicia Escalante; Escalante archive;  2000s; 2002; personal; history; biography; activism; social worker; L.A.; protests,Image;Stillimage,image/png,,screenshot20151102at7.06.56pm.png,cb205,,,,image,https://cpmrark.reclaim.hosting/,https://cpmrark.reclaim.hosting/objects/small/cb205_sm.jpg,https://cpmrark.reclaim.hosting/objects/thumbs/cb205_th.jpg,https://cpmrark.reclaim.hosting/objects/cb205.png,N/A,,,,Alicia Escalante,8.5X11,Paper,multipageAE001.pdf,,Alicia Escalante,,Alicia Escalante tells her story of being a single mother on welfare and the humiliation and inequality she experienced. She writes about how she joined protests and got involved with activism.
cb030,500_OHR_06052022_024.png,Amor,Lola de la Riva,,2017,2017,"Watercolor pen and ink on paper. Made by Lola de la Riva, this artwork is a visual depiction of love and a song (in particular those undulating lines in the center) by Rita Lackey called ""Up and Down Thing."" Rita Lackey is a Black singer/songwriter who formed a group called Somethin' Special, an all-female band writing protest songs in Santa Cruz popular during the 1970s and 1980s. This was likely made while Lola was at Pacific Coast Manor.", de la Riva Family Archive; Chicano; california; Mexican American; Gay; Queer; Lesbian; Lola de la Riva; watercolor; Rita Lackey; Somethin' Special; band; music; 1970s; 1980s; Santa Cruz; Black; African American; elder art,Image;Stillimage,image/png,,500ohr06052022024.png,500ohr06052022024,png,,,image,https://cpmrark.reclaim.hosting/,https://cpmrark.reclaim.hosting/objects/small/500ohr06052022024_sm.jpg,https://cpmrark.reclaim.hosting/objects/thumbs/500ohr06052022024_th.jpg,https://cpmrark.reclaim.hosting/objects/500ohr06052022024.png,Osa Hidalgo de la Riva,,,,Osa Hidalgo de la Riva,"6""x10""",watercolor on paper,500_OHR_06052022_024,,Lola de la Riva,,"Watercolor pen and ink on paper. Made by Lola de la Riva, this artwork is a visual depiction of love and a song (in particular those undulating lines in the center) by Rita Lackey called ""Up and Down Thing."" Rita Lackey is a Black singer/songwriter who formed a group called Somethin' Special, an all-female band writing protest songs in Santa Cruz popular during the 1970s and 1980s. This was likely made while Lola was at Pacific Coast Manor."
cb156,,Ana Luisa Cardona - Oral History Clip 4,N/A,,1976,1976,Ana Cardona discusses her experience at University of Michigan meeting up and participating in organizations with Chicanos including the Raza Art and Media Collective.,ana cardona; ramc; ,Image;Stillimage,application/pdf,,cb156.image,cb156,image,,,image,https://cpmrark.reclaim.hosting/,https://img.youtube.com/vi/yp07lS_L13E/hqdefault.jpg,https://img.youtube.com/vi/yp07lS_L13E/hqdefault.jpg,https://youtu.be/yp07lS_L13E,n/a,,,,Ana Luisa Cardona,11 minutes,Video,214AC_120715_005.m4v,,N/A,,Ana Cardona discusses her experience at University of Michigan meeting up and participating in organizations with Chicanos including the Raza Art and Media Collective.
cb181,,Ana Luisa Cardona CV second version,Ana Luisa Cardona,,1977,1977,The second version in the binder of Ana Luisa Cardona's CV.,Ana Luisa Cardona; Cardona Archive; 1977; 1978; national endowment for the arts; washington dc; cv; university of michigan; 1970s; 1980s; raza art and media collective; los viejitos; teatro de los estudiantes; comission for minority affairs,Image;Stillimage,application/pdf,,cb181.pdf,cb181,pdf,,,pdf,https://cpmrark.reclaim.hosting/,https://cpmrark.reclaim.hosting/objects/small/cb181_sm.jpg,https://cpmrark.reclaim.hosting/objects/thumbs/cb181_th.jpg,https://cpmrark.reclaim.hosting/objects/cb181.pdf,Ana Luisa Cardona,,,,Ana Luisa Cardona,"8.5"" by 11""",CV,214AC_120515_018,,Ana Luisa Cardona,,The second version in the binder of Ana Luisa Cardona's CV.
cb182,Screen Shot 2015-12-08 at 8.11.18 PM.png,Ana Luisa Cardona named a CEW Scholar,Unknown,,1980,1980,Letter naming Ana Cardona as a Center for Education of Women (CEW) scholar.,Ana Luisa Cardona; Cardona Archive; cew scholar; center for education of women; ann arbor; university of michigan; raza art and media collective; los viejitos; 1980; 1980s,Image;Stillimage,image/png,,screenshot20151208at8.11.18pm.png,cb182,,,,image,https://cpmrark.reclaim.hosting/,https://cpmrark.reclaim.hosting/objects/small/cb182_sm.jpg,https://cpmrark.reclaim.hosting/objects/thumbs/cb182_th.jpg,https://cpmrark.reclaim.hosting/objects/cb182.png,Ana Luisa Cardona,,,,Ana Luisa Cardona,"8.5"" by 11""",Letter,214AC_111215_001_m,,Unknown,,Letter naming Ana Cardona as a Center for Education of Women (CEW) scholar.
cb034,,Angela Davis event poster at USC,Osa Hidalgo de la Riva,,2006-3-24,3/24/2006,"A flyer, designed by Osa, advertising a speaking event at the Bovard Auditorium at USC. While at USC, Osa helped start the Latino Cinema Society and served as a representative for that org within the university. A fellow student in that larger group, one of the few other women of color, expressed interest in having Angela speak at the school and Osa was able to help make that happen via her relationship with Angela. This speaking event became a collaborative project between multiple student, com", de la Riva Family Archive; Chicano; california; Mexican American; Gay; Queer; Lesbian; poster; event; flyer; University of Southern California; Latino Cinema Society; Film and Television Criticism; Angela Davis; Bovard Auditorium; rainbow; speech; graduate school,Image;Stillimage,application/pdf,,cb034.pdf,cb034,pdf,,,pdf,https://cpmrark.reclaim.hosting/,https://cpmrark.reclaim.hosting/objects/small/cb034_sm.jpg,https://cpmrark.reclaim.hosting/objects/thumbs/cb034_th.jpg,https://cpmrark.reclaim.hosting/objects/cb034.pdf,Osa Hidalgo de la Riva,,,,Osa Hidalgo de la Riva,"3""x5""",flyer,500_OHR_06052022_020,,Osa Hidalgo de la Riva,,"A flyer, designed by Osa, advertising a speaking event at the Bovard Auditorium at USC. While at USC, Osa helped start the Latino Cinema Society and served as a representative for that org within the university. A fellow student in that larger group, one of the few other women of color, expressed interest in having Angela speak at the school and Osa was able to help make that happen via her relationship with Angela. This speaking event became a collaborative project between multiple student, com"
cb161,8074e2ec-a861-4ee7-af1e-ae74d8ef8c76.png,Angela Reyes with daughter Anita Zavala,N/A,,1970s,1970s,Angela Reyes carrying her infant daughter Anita Zavala.,Angela Reyes; Anita Zavala; 1970s,Image;Stillimage,image/png,,8074e2eca8614ee7af1eae74d8ef8c76.png,8074e2eca8614ee7af1eae74d8ef8c76,png,,,image,https://cpmrark.reclaim.hosting/,https://cpmrark.reclaim.hosting/objects/small/8074e2eca8614ee7af1eae74d8ef8c76_sm.jpg,https://cpmrark.reclaim.hosting/objects/thumbs/8074e2eca8614ee7af1eae74d8ef8c76_th.jpg,https://cpmrark.reclaim.hosting/objects/8074e2eca8614ee7af1eae74d8ef8c76.png,N/A,,,,Angela Reyes,N/A,photo,215AR_110815001.jpg,,N/A,,Angela Reyes carrying her infant daughter Anita Zavala.
cb051,,Angie de la Riva nuclear family,Unknown,,1926,1926,"Left to right: Francisco Gabriel de la Riva, (baby) Gabriel de la Riva, (on bike) Francisco de la Riva, (woman) Angela Rubio de la Riva. Grandparents and uncles to Osa Hidalgo de la Riva on her mother's side. They are likely in Berkeley, California. Back of de la Riva nuclear family photograph. Handwritten text in pencil reads: ""Papa Frank holding Gab. Mama Angela and Frank Jr (Kiki) de la Riva--Berkeley, Cal 1926""",Berkeley; california; 1926;  de la Riva Family Archive; Chicano; Bay Area; family portrait; postcard; Mexican American,Image;Stillimage,application/pdf,,cb051.pdf,cb051,pdf,,,pdf,https://cpmrark.reclaim.hosting/,https://cpmrark.reclaim.hosting/objects/small/cb051_sm.jpg,https://cpmrark.reclaim.hosting/objects/thumbs/cb051_th.jpg,https://cpmrark.reclaim.hosting/objects/cb051.pdf,Osa Hidalgo de la Riva,,,,Osa Hidalgo de la Riva,"4""x5""",photograph,500_OHR_03112022_006,,Unknown,,"Left to right: Francisco Gabriel de la Riva, (baby) Gabriel de la Riva, (on bike) Francisco de la Riva, (woman) Angela Rubio de la Riva. Grandparents and uncles to Osa Hidalgo de la Riva on her mother's side. They are likely in Berkeley, California. Back of de la Riva nuclear family photograph. Handwritten text in pencil reads: ""Papa Frank holding Gab. Mama Angela and Frank Jr (Kiki) de la Riva--Berkeley, Cal 1926"""
cb272,Anna Nieto Gomez and son Emilio at 1976 tenure battle support rally.png,Anna Nieto Gomez and son Emilio at 1976 tenure battle support rally,Unknown,,1976,1976,Anna Nieto Gomez and son Emilio at 1976 tenure battle support rally at California State-Northridge,Anna Nieto Gomez; Anna Nieto Gomez tenure battle; California State-Northridge; 1976; 1970s; 35 mm transparency,Image;Stillimage,image/png,,annanietogomezandsonemilioat1976tenurebattlesupportrally.png,annanietogomezandsonemilioat1976tenurebattlesupportrally,png,,,image,https://cpmrark.reclaim.hosting/,https://cpmrark.reclaim.hosting/objects/small/annanietogomezandsonemilioat1976tenurebattlesupportrally_sm.jpg,https://cpmrark.reclaim.hosting/objects/thumbs/annanietogomezandsonemilioat1976tenurebattlesupportrally_th.jpg,https://cpmrark.reclaim.hosting/objects/annanietogomezandsonemilioat1976tenurebattlesupportrally.png,unknown,,,,Anna NietoGomez,"2""x2""",35 mm transparency,006ANG_111214_040,,Unknown,,Anna Nieto Gomez and son Emilio at 1976 tenure battle support rally at California State-Northridge
